idno,cntry,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,pro_immigration,religiosity,life_satisfaction,satis_economy,satis_government,left_right,gender,age_group,education
18940,IT,medium,high,high,medium,medium,medium,low,high,medium,medium,left,female,18-29,high
15123,IT,low,medium,high,low,low,low,high,high,low,low,centre,female,60+,medium
20218,IT,medium,high,medium,low,low,high,low,high,medium,medium,left,male,18-29,high
17691,IT,high,high,high,medium,low,high,high,high,medium,low,centre,female,60+,low
22013,IT,medium,medium,medium,medium,medium,medium,high,high,medium,medium,left,female,18-29,medium
22366,IT,low,high,high,high,low,low,medium,medium,medium,medium,right,female,45-59,high
27553,IT,low,low,high,medium,medium,medium,high,high,low,low,right,male,18-29,medium
10364,IT,high,high,high,high,high,low,high,high,low,low,right,female,30-44,medium
15720,IT,medium,medium,medium,medium,medium,high,low,high,medium,medium,centre,male,18-29,low
26657,IT,medium,medium,high,low,low,medium,low,high,low,low,centre,male,30-44,high
14323,IT,medium,high,high,medium,medium,medium,low,high,medium,high,centre,female,18-29,medium
24620,IT,medium,high,high,medium,medium,medium,high,high,medium,medium,left,male,45-59,high
24746,IT,medium,medium,medium,low,low,medium,medium,medium,low,medium,centre,female,30-44,medium
18362,IT,medium,medium,high,low,medium,low,high,high,medium,medium,left,female,60+,high
18388,IT,high,high,medium,medium,high,high,high,high,high,high,centre,female,60+,low
13607,IT,high,high,high,medium,medium,medium,medium,high,medium,high,right,male,30-44,high
18501,IT,low,medium,high,low,low,low,low,high,low,low,right,female,30-44,high
11630,IT,medium,medium,high,medium,medium,medium,high,high,low,high,right,female,60+,low
19065,IT,high,high,high,high,high,high,high,high,medium,high,right,male,60+,low
16796,IT,low,medium,medium,low,low,medium,low,medium,low,low,right,male,18-29,medium
26974,IT,medium,medium,high,medium,medium,medium,low,medium,low,low,right,male,45-59,medium
21772,IT,medium,high,high,medium,medium,medium,low,high,high,high,left,male,60+,low
18217,IT,medium,medium,high,low,low,medium,medium,high,medium,medium,right,male,18-29,medium
21620,IT,low,low,high,low,medium,medium,medium,low,low,low,left,female,30-44,high
10485,IT,low,high,high,low,low,medium,high,high,medium,low,right,male,60+,low
15044,IT,medium,medium,medium,medium,medium,medium,high,high,medium,medium,centre,female,60+,medium
18087,IT,high,high,high,medium,medium,medium,medium,high,medium,high,left,male,45-59,medium
26992,IT,low,medium,low,medium,low,medium,high,medium,medium,medium,centre,female,18-29,medium
24669,IT,low,high,high,low,low,high,high,high,low,high,left,female,60+,low
16466,IT,medium,low,high,low,low,low,low,medium,medium,high,right,male,60+,low
26232,IT,high,high,high,high,high,high,high,medium,high,high,right,male,45-59,low
16470,IT,medium,medium,high,low,low,medium,medium,medium,medium,medium,centre,male,45-59,medium
16406,IT,low,medium,medium,low,low,low,high,medium,low,low,centre,female,60+,low
26469,IT,low,high,high,low,low,medium,low,high,medium,low,left,male,18-29,medium
15218,IT,low,high,medium,low,low,high,low,high,low,low,centre,male,18-29,high
22047,IT,medium,low,low,low,low,low,high,high,medium,medium,right,female,45-59,medium
19414,IT,low,low,medium,low,low,low,medium,high,medium,low,right,male,60+,medium
11021,IT,low,low,low,low,low,low,medium,medium,low,medium,left,female,60+,low
19719,IT,high,high,high,medium,medium,high,medium,high,medium,medium,centre,female,45-59,medium
24851,IT,medium,low,medium,low,low,low,medium,medium,low,medium,left,female,45-59,medium
15534,IT,medium,high,high,medium,medium,low,high,medium,low,medium,left,female,60+,low
26539,IT,medium,high,high,medium,medium,high,high,high,high,high,right,male,NA,low
17476,IT,low,low,high,low,low,low,medium,high,low,low,centre,female,45-59,medium
11885,IT,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,centre,female,30-44,medium
26938,IT,medium,high,high,low,low,low,medium,high,medium,medium,centre,female,45-59,high
26116,IT,medium,medium,medium,low,low,low,medium,high,low,high,centre,female,18-29,high
16516,LT,medium,high,high,medium,medium,medium,medium,high,high,medium,centre,female,18-29,high
10076,LT,high,high,high,high,high,medium,medium,high,high,high,right,male,60+,high
13262,LT,low,medium,medium,medium,low,medium,high,medium,low,low,left,male,60+,medium
26627,LT,medium,high,high,medium,medium,medium,medium,high,medium,medium,centre,male,30-44,high
13840,LT,low,low,low,low,low,medium,low,high,medium,medium,centre,male,30-44,medium
21032,LT,medium,medium,medium,medium,medium,medium,low,medium,high,medium,centre,male,60+,medium
27911,LT,high,high,medium,low,low,medium,medium,high,medium,low,centre,female,18-29,high
25780,LT,medium,high,high,high,high,medium,low,medium,medium,medium,left,female,45-59,medium
22716,LT,low,low,medium,medium,medium,high,medium,high,medium,medium,left,female,30-44,low
20128,LT,low,medium,low,low,medium,low,medium,medium,low,medium,centre,male,45-59,medium
25572,LT,low,low,low,low,low,high,high,high,low,low,centre,female,30-44,high
15090,LT,high,high,high,medium,high,high,high,high,high,high,right,male,60+,high
22820,LT,low,medium,medium,low,low,medium,high,medium,low,medium,centre,female,60+,medium
19269,LT,high,high,high,low,medium,medium,high,medium,medium,medium,centre,male,60+,low
21311,LT,medium,medium,high,medium,medium,medium,medium,high,high,high,right,male,60+,high
23479,LT,low,medium,high,medium,medium,medium,medium,medium,medium,low,left,male,60+,low
15021,LT,low,low,low,medium,medium,low,low,medium,low,low,left,female,30-44,high
15742,LT,low,low,low,low,low,medium,medium,low,low,low,centre,female,45-59,medium
21130,LT,medium,high,medium,high,medium,medium,medium,high,medium,high,centre,female,60+,high
15249,LT,low,medium,medium,low,low,low,medium,low,medium,low,left,male,45-59,high
10313,LT,low,low,low,low,low,low,high,high,low,medium,centre,female,60+,medium
27793,LT,medium,medium,high,low,low,low,medium,high,low,medium,left,female,45-59,high
11911,LT,medium,high,high,high,medium,low,high,low,low,low,left,female,30-44,high
15175,LT,low,low,medium,low,low,low,high,high,high,low,left,female,60+,high
13950,LT,low,medium,medium,low,low,low,high,medium,medium,low,left,female,60+,medium
23047,LT,medium,low,high,medium,medium,low,medium,medium,low,medium,centre,female,60+,high
11223,LT,medium,low,low,low,low,low,high,medium,low,low,centre,male,45-59,high
12140,LT,low,medium,high,medium,medium,medium,medium,high,medium,medium,centre,male,45-59,low
16322,LT,low,low,low,low,medium,medium,medium,high,medium,low,left,female,60+,medium
27050,LT,medium,high,high,medium,medium,medium,high,low,medium,medium,centre,female,60+,high
18004,LT,medium,medium,medium,medium,medium,medium,high,high,medium,medium,centre,female,30-44,medium
25107,LT,high,high,high,medium,medium,high,low,high,high,high,right,female,60+,high
17129,LT,low,medium,high,low,low,low,high,low,low,low,left,female,45-59,low
27381,LT,low,low,low,low,low,medium,high,medium,low,low,centre,female,60+,high
23768,LT,medium,high,high,medium,medium,medium,medium,high,low,low,left,female,30-44,high
12536,LT,low,medium,high,low,low,medium,medium,high,medium,medium,centre,male,60+,medium
19874,LT,low,high,high,medium,medium,medium,high,high,low,medium,centre,female,45-59,medium
12480,LT,high,high,high,medium,medium,high,low,high,medium,high,right,male,30-44,high
10855,LT,high,high,high,high,medium,medium,low,high,high,high,centre,male,18-29,medium
23649,LT,low,low,medium,low,low,medium,high,medium,medium,medium,right,female,60+,high
17326,LT,low,low,high,low,low,medium,high,high,low,low,centre,male,30-44,medium
22206,LT,low,medium,high,low,low,medium,high,high,medium,low,left,female,60+,high
16683,LT,medium,high,high,medium,low,low,high,high,high,high,right,female,18-29,high
25889,LT,high,high,high,high,medium,high,low,medium,medium,high,left,female,60+,medium
26722,LT,high,high,high,high,high,medium,high,medium,medium,high,right,male,30-44,medium
10661,LT,low,medium,medium,low,low,low,low,low,low,low,centre,male,30-44,low
22418,LT,high,high,high,low,low,medium,medium,medium,medium,medium,left,female,60+,medium
25374,LT,medium,high,high,medium,high,high,high,high,medium,high,right,female,60+,high
11251,LT,medium,medium,high,medium,medium,high,low,high,high,high,left,female,18-29,medium
24863,LT,high,high,high,high,high,high,high,high,high,high,left,female,18-29,low
26484,LT,high,high,high,high,high,low,high,high,high,high,right,female,60+,high
21540,LT,medium,low,medium,medium,medium,medium,medium,high,medium,medium,centre,female,45-59,high
10771,LT,medium,medium,high,medium,medium,low,medium,high,medium,medium,centre,male,30-44,low
25652,LT,low,medium,high,low,low,high,low,high,medium,high,centre,female,30-44,medium
15324,LT,low,high,high,medium,medium,medium,high,high,high,low,left,female,30-44,high
25894,LT,medium,medium,high,medium,medium,medium,low,medium,medium,medium,centre,male,45-59,high
19784,LT,medium,medium,high,medium,medium,medium,high,high,medium,medium,right,female,60+,high
10526,LT,medium,medium,medium,low,medium,medium,low,high,medium,medium,right,male,18-29,high
16653,LT,low,medium,high,medium,medium,medium,high,high,high,high,right,male,60+,medium
12908,LT,low,low,low,low,low,low,low,medium,low,low,centre,male,60+,high
14040,LT,high,high,medium,medium,low,low,medium,medium,high,medium,centre,female,30-44,high
22768,LT,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,right,male,30-44,medium
25699,LT,medium,medium,high,low,medium,high,high,high,high,medium,centre,male,18-29,high
18863,LT,medium,medium,medium,low,low,medium,low,high,medium,low,centre,male,45-59,high
15169,LT,medium,medium,high,low,low,medium,low,high,medium,medium,centre,female,45-59,high
19607,LT,medium,medium,high,high,high,high,medium,medium,medium,medium,right,female,45-59,low
23968,LT,medium,high,high,low,low,medium,medium,high,medium,medium,centre,female,45-59,low
24765,LT,high,high,high,high,high,medium,high,high,high,high,left,female,60+,high
22757,LT,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,centre,male,60+,high
27147,LT,low,medium,high,low,high,high,high,high,low,low,left,female,60+,medium
20611,LT,high,high,high,high,high,high,high,high,high,high,right,male,45-59,high
11018,LT,medium,medium,medium,medium,low,medium,medium,high,high,medium,right,female,60+,medium
21326,LT,low,high,high,low,low,medium,high,high,medium,low,centre,female,30-44,high
24722,LT,medium,medium,medium,medium,medium,medium,low,high,medium,high,centre,female,18-29,medium
25155,LT,low,medium,high,low,medium,low,high,low,low,low,centre,male,60+,high
17964,LT,medium,high,high,medium,medium,medium,high,high,medium,medium,centre,female,45-59,high
15801,LT,medium,medium,medium,medium,low,medium,high,medium,high,high,left,female,60+,low
22404,LT,low,medium,medium,low,low,medium,high,high,medium,low,centre,female,60+,medium
25206,LT,medium,medium,low,medium,medium,medium,high,medium,medium,medium,centre,female,60+,medium
23362,LT,medium,medium,high,medium,low,medium,high,medium,medium,medium,left,female,60+,high
20331,LT,low,medium,high,low,low,medium,low,high,low,low,right,female,30-44,high
14251,LT,low,medium,high,low,low,high,low,low,medium,medium,right,male,45-59,medium
26483,LT,medium,high,high,medium,medium,high,medium,high,high,medium,centre,male,30-44,high
17473,LT,low,medium,medium,low,medium,medium,medium,high,medium,low,centre,female,45-59,high
15972,LT,low,medium,medium,low,low,high,high,high,high,low,left,female,60+,high
21112,LT,low,medium,high,low,low,medium,low,medium,medium,low,centre,male,45-59,low
24257,LT,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,right,female,45-59,low
22741,LT,medium,high,high,high,medium,high,high,high,high,high,right,female,60+,high
10018,LT,high,high,medium,high,high,low,medium,medium,low,high,centre,male,18-29,medium
27526,LT,low,low,low,low,low,low,medium,medium,high,high,centre,female,30-44,high
11021,LT,low,low,high,low,low,low,low,medium,low,low,centre,male,45-59,medium
25989,LT,low,medium,low,low,low,medium,high,medium,low,low,centre,female,45-59,high
18953,LT,medium,medium,high,medium,medium,medium,medium,high,medium,medium,centre,male,30-44,high
24072,LT,medium,medium,high,low,low,medium,medium,medium,medium,low,left,female,60+,low
20143,LT,medium,high,high,low,low,medium,low,high,high,medium,left,male,18-29,medium
12775,LT,low,medium,low,low,low,high,medium,high,low,low,right,female,18-29,medium
16482,LT,low,medium,medium,low,low,medium,low,low,low,low,centre,male,60+,medium
27859,LT,medium,low,high,medium,medium,medium,high,high,medium,medium,centre,female,60+,high
10292,LT,low,medium,high,medium,low,medium,medium,high,medium,low,centre,male,30-44,medium
20979,LT,medium,medium,medium,medium,low,high,medium,high,medium,low,centre,male,30-44,high
56110,ME,low,medium,medium,low,medium,high,low,medium,high,medium,centre,female,60+,medium
81253,ME,low,low,low,low,low,medium,medium,high,medium,low,centre,female,18-29,low
78935,ME,medium,medium,medium,medium,high,low,high,medium,medium,medium,centre,male,30-44,high
73832,ME,high,low,low,low,low,medium,high,medium,medium,medium,right,male,18-29,medium
77021,ME,low,low,low,low,low,low,medium,low,medium,medium,left,female,60+,medium
64602,ME,medium,medium,high,low,low,medium,medium,high,low,low,centre,female,60+,low
27449,ME,medium,medium,high,medium,low,low,medium,medium,medium,high,right,female,45-59,medium
25503,ME,medium,medium,medium,medium,medium,high,high,high,medium,medium,centre,female,45-59,high
79438,ME,low,low,low,low,low,high,medium,medium,medium,low,left,female,45-59,medium
69242,ME,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,centre,female,60+,medium
66352,ME,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,centre,female,45-59,medium
51296,ME,high,medium,medium,medium,medium,low,high,medium,medium,medium,centre,male,60+,low
21851,ME,medium,low,medium,low,medium,low,high,high,low,low,centre,female,45-59,medium
68888,ME,medium,high,medium,high,medium,medium,medium,high,high,high,left,male,45-59,medium
10689,ME,low,low,medium,low,low,medium,low,high,low,low,right,male,30-44,medium
82071,ME,medium,low,high,medium,medium,medium,high,medium,medium,low,centre,male,60+,medium
67874,ME,medium,high,high,low,low,high,high,high,high,low,centre,female,30-44,high
62797,ME,low,low,low,medium,medium,medium,high,high,low,low,left,female,18-29,medium
78780,ME,medium,low,low,low,low,medium,medium,low,low,low,centre,female,60+,medium
70214,ME,medium,medium,medium,medium,medium,high,high,medium,medium,medium,left,male,60+,low
73785,ME,high,high,high,high,high,high,high,high,high,high,left,male,30-44,medium
62255,ME,medium,medium,high,medium,medium,medium,medium,high,high,medium,centre,female,30-44,medium
61251,ME,low,medium,high,low,low,medium,low,medium,high,medium,right,male,60+,medium
64179,ME,low,low,low,low,medium,low,medium,high,high,high,left,male,60+,medium
70882,ME,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,right,female,18-29,high
68585,ME,high,high,high,high,high,high,high,high,high,high,centre,female,18-29,medium
68338,ME,low,low,low,low,low,low,medium,high,low,low,left,female,45-59,medium
70207,ME,medium,high,high,high,high,high,high,high,low,high,right,male,18-29,medium
54048,ME,medium,medium,medium,low,low,high,medium,high,low,medium,left,female,NA,medium
67278,ME,medium,medium,medium,medium,low,medium,medium,high,low,low,left,female,18-29,low
50141,ME,low,low,low,low,low,medium,low,medium,low,low,left,male,30-44,medium
58458,ME,medium,medium,medium,low,low,medium,medium,medium,low,low,left,female,60+,low
75647,ME,medium,low,low,low,low,high,medium,high,low,medium,right,male,45-59,medium
74530,ME,low,low,low,low,low,medium,high,medium,low,medium,centre,male,30-44,high
52747,ME,low,high,high,low,low,high,medium,high,low,low,left,male,30-44,high
60174,ME,low,low,low,medium,high,medium,medium,medium,high,low,left,male,45-59,medium
69241,ME,low,medium,medium,low,high,medium,medium,medium,high,medium,centre,male,30-44,medium
55719,ME,medium,low,high,medium,medium,low,high,medium,low,medium,centre,male,60+,low
61959,ME,high,medium,high,medium,low,high,high,high,medium,medium,centre,female,18-29,high
71121,ME,high,high,medium,medium,medium,medium,high,high,medium,medium,centre,female,45-59,high
74745,ME,medium,high,medium,medium,medium,medium,high,high,medium,medium,left,male,30-44,high
60201,ME,medium,medium,high,low,low,medium,high,medium,medium,medium,centre,female,30-44,medium
56323,ME,high,medium,low,low,low,medium,high,medium,medium,medium,right,male,NA,high
54096,ME,high,high,high,high,medium,high,high,high,high,medium,centre,female,60+,high
26763,ME,medium,low,medium,medium,medium,high,medium,high,medium,medium,centre,male,18-29,medium
63700,ME,medium,high,high,low,medium,medium,high,medium,medium,high,centre,male,30-44,high
53570,ME,medium,low,medium,medium,low,low,medium,medium,low,low,left,male,45-59,medium
59899,ME,medium,medium,medium,medium,low,high,low,high,medium,low,left,male,18-29,medium
51186,ME,low,low,medium,low,low,high,high,high,high,high,left,female,60+,medium
65836,ME,high,high,medium,medium,medium,medium,medium,high,medium,medium,centre,female,18-29,medium
54777,ME,low,low,low,low,low,high,medium,high,medium,medium,left,male,30-44,high
65121,ME,medium,low,low,low,low,low,low,high,low,low,left,male,60+,medium
61040,ME,low,low,low,low,low,low,low,high,medium,low,right,male,60+,medium
80756,ME,low,low,low,low,low,medium,medium,high,low,low,left,female,60+,medium
58547,ME,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,centre,female,45-59,medium
61130,ME,medium,low,medium,low,medium,high,high,high,medium,medium,right,male,18-29,high
64536,ME,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,centre,female,30-44,high
50032,ME,medium,medium,medium,medium,medium,low,medium,low,low,medium,left,male,45-59,medium
16662,ME,low,low,low,low,medium,low,high,high,low,low,right,male,45-59,medium
60690,ME,high,high,high,high,high,high,medium,high,high,high,right,female,60+,low
59042,ME,low,medium,high,low,low,low,low,medium,low,low,left,male,30-44,high
69580,ME,low,low,low,low,low,low,low,high,low,low,centre,male,60+,high
53884,ME,low,low,low,low,low,medium,medium,medium,low,low,left,female,60+,high
54593,ME,medium,low,medium,low,low,low,medium,high,low,medium,right,male,18-29,medium
57386,ME,low,medium,high,high,medium,low,high,high,high,low,centre,female,60+,medium
53685,ME,low,low,low,low,low,medium,medium,medium,medium,medium,centre,female,30-44,high
67721,ME,medium,medium,medium,medium,medium,medium,high,high,medium,medium,left,male,60+,medium
74763,ME,low,low,low,low,low,low,medium,low,medium,low,left,female,30-44,medium
58698,ME,low,low,low,low,low,medium,medium,medium,low,low,centre,male,30-44,medium
59125,ME,medium,medium,high,high,medium,medium,high,high,high,medium,left,male,60+,low
77859,ME,high,medium,medium,medium,high,medium,medium,medium,medium,high,centre,male,18-29,medium
79819,ME,low,low,medium,low,low,low,high,low,low,medium,centre,male,18-29,medium
69559,ME,high,low,medium,low,low,high,high,high,medium,low,left,male,18-29,medium
15407,ME,medium,low,medium,low,low,low,low,high,low,low,centre,female,60+,low
73867,ME,high,high,high,low,low,high,high,high,medium,high,centre,male,30-44,medium
69365,ME,low,low,medium,medium,medium,low,medium,high,low,low,left,male,60+,medium
63701,ME,medium,medium,high,low,low,medium,medium,high,medium,low,left,male,18-29,medium
55854,ME,high,high,high,medium,high,high,medium,high,medium,medium,centre,male,60+,medium
72198,ME,medium,medium,medium,medium,medium,low,medium,high,low,low,left,male,30-44,medium
54827,ME,low,low,medium,medium,medium,medium,high,high,high,high,centre,male,18-29,medium
58328,ME,low,low,medium,low,low,medium,high,medium,low,low,centre,male,45-59,medium
74696,ME,medium,low,high,medium,medium,medium,medium,medium,medium,medium,left,male,30-44,medium
68513,ME,low,low,low,low,low,medium,medium,high,medium,medium,left,male,30-44,medium
58776,ME,medium,medium,medium,low,low,medium,low,high,low,low,centre,male,45-59,medium
