idno,cntry,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,pro_immigration,religiosity,life_satisfaction,satis_economy,satis_government,left_right,gender,age_group,education
18184,BE,high,high,high,high,high,medium,medium,high,high,medium,left,male,30-44,high
22606,BE,medium,medium,high,medium,medium,medium,medium,high,medium,medium,centre,female,45-59,high
23562,BE,medium,high,high,medium,medium,medium,high,high,low,medium,centre,male,30-44,high
17329,BE,high,high,high,medium,medium,high,high,high,low,medium,centre,male,30-44,high
27340,BE,high,low,high,medium,low,medium,medium,high,low,low,centre,female,60+,medium
10445,BE,low,low,medium,low,low,high,high,high,low,medium,centre,female,30-44,high
19203,BE,medium,low,medium,medium,low,low,low,high,medium,high,centre,male,60+,high
26894,BE,high,high,high,high,high,medium,medium,high,high,high,centre,male,18-29,medium
15733,BE,medium,low,low,medium,medium,medium,low,high,high,low,left,male,18-29,medium
21950,BE,medium,medium,high,medium,medium,high,medium,high,high,high,centre,female,60+,low
16525,BE,high,high,high,medium,medium,medium,high,high,high,high,right,male,18-29,medium
20537,BE,medium,medium,high,medium,medium,high,low,high,high,medium,left,female,45-59,medium
24567,BE,medium,medium,high,low,medium,medium,high,high,medium,medium,centre,male,60+,medium
22693,BE,low,high,high,low,low,medium,low,high,high,medium,left,male,45-59,high
13005,BE,high,high,high,high,medium,medium,high,high,high,medium,right,female,45-59,high
13197,BE,low,low,medium,low,low,high,high,high,medium,medium,centre,female,18-29,low
17274,BE,high,high,high,medium,medium,medium,high,high,medium,medium,centre,male,30-44,low
11953,BE,high,high,high,medium,medium,medium,low,high,medium,high,right,female,30-44,high
22626,BE,medium,medium,high,medium,medium,medium,low,high,medium,medium,right,male,60+,high
10644,BE,medium,high,medium,medium,low,high,low,medium,low,low,left,female,30-44,high
20228,BE,low,low,low,low,low,low,low,low,low,low,centre,female,45-59,low
11108,BE,high,high,high,medium,medium,medium,high,high,medium,medium,right,male,60+,high
26624,BE,low,low,high,low,low,medium,low,high,high,low,centre,male,45-59,high
19555,BE,low,low,medium,low,low,high,low,high,low,low,right,male,30-44,high
26030,BE,low,low,high,low,medium,low,medium,high,medium,low,right,female,45-59,low
16065,BE,medium,medium,high,medium,medium,medium,high,high,medium,medium,right,female,60+,low
11040,BE,high,high,high,high,high,high,low,high,high,medium,centre,male,18-29,low
14181,BE,low,low,high,low,low,low,high,high,low,low,centre,female,60+,medium
26131,BE,low,low,low,low,low,low,low,high,medium,low,right,female,18-29,high
27929,BE,high,medium,high,high,medium,medium,medium,high,high,high,centre,female,45-59,high
18228,BE,high,high,high,medium,high,high,medium,high,medium,high,left,female,30-44,high
10156,BE,high,high,high,high,high,high,high,high,medium,high,centre,male,18-29,high
20579,BE,medium,high,high,medium,low,medium,high,high,high,high,left,male,18-29,medium
22081,BE,high,medium,high,medium,medium,medium,high,low,medium,medium,centre,female,45-59,high
12824,BE,high,high,high,medium,medium,medium,medium,high,medium,medium,centre,female,18-29,medium
11458,BE,low,medium,medium,low,low,low,low,low,medium,low,centre,female,45-59,high
16882,BE,medium,medium,medium,medium,medium,high,low,high,medium,low,left,female,60+,high
11605,BE,low,medium,medium,low,low,high,medium,high,low,low,left,female,60+,high
15509,BE,low,high,high,low,medium,medium,low,high,medium,medium,centre,female,18-29,low
22109,BE,low,low,low,low,low,medium,low,high,medium,medium,centre,male,45-59,medium
14458,BE,low,medium,high,low,low,high,low,high,medium,low,centre,female,60+,low
24851,BE,low,low,low,low,low,low,low,high,medium,low,right,male,60+,high
15682,BE,high,high,high,high,medium,high,high,high,high,high,centre,male,60+,high
15592,BE,low,medium,high,low,low,high,low,high,medium,low,centre,male,45-59,low
13914,BE,low,low,low,low,low,medium,low,low,medium,low,right,male,45-59,high
23324,BE,medium,medium,high,low,low,low,medium,high,low,low,centre,female,30-44,high
20265,BE,high,high,high,high,high,medium,low,high,high,high,centre,male,45-59,medium
20514,BE,high,high,high,medium,medium,high,medium,high,high,high,right,male,45-59,high
24492,BE,low,low,high,low,low,medium,low,high,medium,medium,centre,female,45-59,medium
21095,BE,medium,high,high,medium,medium,medium,medium,high,high,medium,centre,female,30-44,medium
19620,BE,medium,low,medium,low,low,medium,medium,high,low,low,left,male,60+,high
16156,BE,low,low,medium,low,low,medium,medium,high,medium,medium,centre,female,60+,low
10603,BE,high,medium,high,medium,medium,medium,high,high,high,high,right,male,30-44,high
16537,BE,low,low,medium,low,low,high,low,high,medium,low,centre,male,60+,medium
10946,BE,medium,high,high,medium,medium,medium,medium,high,medium,medium,centre,female,60+,medium
17750,BE,high,high,high,medium,medium,high,low,high,medium,medium,left,female,30-44,high
21223,BE,low,medium,low,low,low,high,low,medium,low,low,centre,male,18-29,high
25617,BE,medium,medium,medium,medium,low,medium,high,high,medium,medium,centre,female,60+,high
16975,BE,medium,medium,high,medium,medium,high,low,medium,medium,high,centre,female,60+,low
22345,BE,medium,high,medium,medium,high,medium,high,high,medium,medium,centre,male,18-29,low
15645,BE,high,high,high,high,high,medium,high,high,high,high,right,female,60+,medium
15925,BE,medium,low,medium,low,low,medium,high,medium,medium,medium,centre,female,60+,high
10735,BE,medium,low,medium,low,low,medium,low,medium,low,low,right,female,45-59,high
24916,BE,low,low,high,low,low,medium,low,medium,medium,low,centre,female,30-44,high
15391,BE,medium,high,high,medium,low,high,low,high,medium,high,left,male,60+,high
22959,BE,medium,high,medium,medium,medium,high,low,high,medium,medium,left,male,18-29,medium
13666,BE,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,centre,male,60+,high
20611,BE,high,medium,high,medium,high,medium,low,high,medium,medium,centre,male,18-29,high
27070,BE,low,low,medium,low,low,medium,low,high,medium,medium,centre,female,30-44,medium
22607,BE,medium,medium,high,medium,medium,medium,high,high,medium,medium,right,male,60+,high
12799,BE,low,low,low,low,low,medium,high,low,low,low,left,male,45-59,low
14546,BE,medium,medium,high,high,high,high,medium,high,medium,high,right,female,60+,low
15659,BE,high,high,high,high,high,high,high,high,medium,high,centre,male,30-44,high
10422,BE,medium,high,high,high,medium,high,low,high,high,high,right,male,60+,high
22665,BE,medium,medium,high,low,medium,medium,low,high,medium,low,right,male,18-29,medium
23686,BE,medium,medium,high,medium,medium,high,high,high,medium,medium,centre,male,45-59,low
13548,BE,low,medium,high,low,low,low,low,high,high,medium,centre,female,45-59,medium
19101,BE,medium,medium,medium,medium,medium,low,low,high,medium,medium,right,male,60+,high
14192,BE,high,high,high,high,high,high,high,high,high,high,centre,male,30-44,high
20115,BE,low,low,low,low,low,medium,medium,high,low,low,centre,female,30-44,high
26456,BE,low,low,medium,low,low,medium,low,high,low,low,right,female,60+,high
21776,BE,low,medium,medium,low,low,low,low,high,high,medium,right,male,60+,low
11328,BE,medium,medium,medium,medium,medium,medium,low,high,low,medium,centre,male,60+,high
16452,BE,medium,medium,high,medium,low,high,low,high,high,medium,centre,female,60+,high
24168,BE,low,medium,high,low,low,medium,low,high,medium,low,centre,female,18-29,high
18424,BE,medium,medium,low,low,low,low,low,high,low,low,centre,male,60+,high
19668,BE,medium,high,high,medium,medium,medium,low,high,high,high,left,male,45-59,high
24351,BE,low,medium,high,low,low,medium,low,low,high,medium,centre,female,45-59,medium
19233,BE,low,high,high,low,low,medium,high,high,medium,high,left,male,18-29,low
26337,BE,high,medium,high,medium,medium,high,high,high,high,medium,left,female,18-29,low
21531,BE,low,high,high,low,low,medium,low,high,medium,low,right,male,18-29,high
26898,BE,medium,medium,medium,medium,low,medium,low,high,medium,high,left,male,60+,low
23710,BE,low,medium,high,low,low,high,low,high,low,low,left,male,45-59,high
27537,BE,medium,medium,high,medium,low,low,medium,high,medium,medium,centre,female,60+,high
15235,BE,high,high,high,high,high,high,low,high,high,high,centre,female,18-29,high
23657,BE,medium,high,high,low,medium,medium,low,high,low,medium,right,male,60+,medium
18569,BE,high,high,medium,high,medium,medium,medium,medium,medium,medium,centre,female,30-44,high
19618,BE,low,medium,high,low,low,medium,high,high,high,medium,centre,female,30-44,medium
20691,BE,low,medium,low,low,low,high,medium,high,medium,medium,left,female,18-29,low
12412,BE,medium,medium,high,medium,medium,medium,medium,high,medium,medium,centre,female,60+,low
18370,BG,low,high,high,low,medium,high,medium,high,medium,medium,centre,male,60+,medium
23633,BG,low,low,low,low,low,medium,high,high,low,medium,right,male,60+,medium
10107,BG,low,low,medium,low,low,low,low,high,medium,medium,centre,male,30-44,medium
12279,BG,low,low,medium,low,low,medium,medium,low,low,low,right,male,60+,medium
14195,BG,low,low,low,low,low,high,low,medium,low,low,centre,male,30-44,medium
18724,BG,low,low,low,low,low,low,low,high,low,low,centre,male,18-29,medium
11065,BG,medium,low,high,medium,medium,low,medium,high,medium,medium,left,female,60+,high
27537,BG,low,medium,low,medium,medium,medium,medium,low,low,low,centre,male,30-44,high
11885,BG,low,low,medium,low,low,high,low,high,medium,low,right,female,45-59,high
17750,BG,low,low,low,low,low,medium,high,high,low,low,left,male,45-59,medium
15646,BG,low,low,medium,medium,medium,medium,low,medium,low,low,centre,female,60+,high
20504,BG,low,low,low,low,low,low,medium,high,low,low,left,female,60+,high
22720,BG,low,low,low,low,low,medium,medium,high,medium,high,centre,male,30-44,high
27353,BG,low,low,high,low,low,low,high,high,low,low,right,female,45-59,high
26034,BG,low,low,low,low,low,medium,high,high,low,medium,right,female,60+,medium
11956,BG,medium,high,medium,medium,medium,medium,medium,high,medium,medium,left,female,60+,high
10279,BG,low,low,medium,medium,high,low,medium,high,low,medium,centre,female,60+,medium
20651,BG,low,low,low,low,low,low,low,high,medium,medium,centre,female,30-44,high
13337,BG,high,high,high,high,high,high,high,high,high,high,right,female,18-29,high
18059,BG,low,low,low,low,low,medium,low,high,medium,medium,centre,male,45-59,high
10077,BG,medium,medium,high,medium,medium,medium,low,medium,medium,medium,left,female,60+,high
23562,BG,low,medium,medium,low,low,medium,high,high,high,low,right,female,45-59,medium
26996,BG,low,low,low,low,low,high,medium,high,low,low,centre,male,60+,low
20479,BG,low,low,medium,low,low,medium,high,low,low,low,left,female,45-59,medium
18052,BG,low,low,low,low,low,low,medium,low,low,low,left,male,60+,low
13029,BG,low,medium,medium,low,low,medium,low,medium,low,high,right,male,18-29,high
12090,BG,low,low,low,low,low,medium,low,high,low,low,centre,male,45-59,high
12794,BG,low,medium,medium,low,low,medium,high,high,low,low,right,female,45-59,medium
25065,BG,high,medium,medium,medium,medium,low,low,medium,medium,low,right,male,30-44,high
25555,BG,low,medium,medium,low,low,low,medium,medium,low,low,right,female,60+,high
20093,BG,low,low,low,low,low,low,medium,high,low,low,centre,female,45-59,medium
25744,BG,low,low,medium,low,low,medium,low,high,low,low,left,male,30-44,high
13108,BG,low,low,medium,low,low,medium,low,high,low,low,left,female,45-59,medium
20870,BG,medium,medium,medium,high,high,high,high,medium,medium,medium,left,female,45-59,high
22527,BG,low,medium,medium,low,medium,medium,medium,high,medium,medium,centre,male,45-59,low
18542,BG,medium,medium,high,low,low,low,medium,high,low,medium,right,female,60+,medium
24919,BG,low,medium,high,medium,low,medium,medium,medium,medium,medium,centre,male,45-59,medium
21586,BG,low,high,high,low,low,medium,medium,high,medium,medium,centre,female,45-59,high
23263,BG,low,low,low,low,low,medium,medium,high,medium,low,centre,female,18-29,medium
14191,BG,medium,high,high,medium,medium,low,low,medium,medium,low,centre,female,60+,medium
25421,BG,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,centre,female,30-44,high
25296,BG,low,low,low,low,low,medium,high,medium,high,high,centre,female,60+,medium
21763,BG,medium,medium,medium,medium,medium,medium,high,high,low,medium,right,female,60+,medium
21553,BG,low,low,low,low,low,medium,medium,low,low,low,centre,female,45-59,high
15437,BG,low,low,low,low,low,high,medium,high,high,low,centre,female,45-59,high
16206,BG,low,low,low,medium,low,medium,medium,high,low,low,centre,female,60+,high
11106,BG,low,low,low,low,low,medium,low,medium,medium,low,right,male,45-59,high
23242,BG,low,low,medium,low,medium,medium,medium,high,medium,medium,right,male,45-59,high
23458,BG,low,low,medium,low,low,medium,low,medium,low,low,centre,male,60+,high
11205,BG,low,low,medium,low,low,medium,medium,medium,low,low,centre,female,30-44,high
14458,BG,high,high,high,low,low,low,high,high,low,low,right,male,60+,low
22883,BG,low,low,medium,medium,medium,medium,medium,medium,low,low,left,male,60+,high
14273,BG,medium,medium,medium,medium,low,low,medium,medium,low,low,centre,female,30-44,high
13629,BG,low,low,low,low,low,low,low,high,low,low,right,male,30-44,medium
11868,BG,low,medium,medium,low,low,medium,high,medium,medium,low,centre,male,45-59,medium
26258,BG,low,low,low,low,low,low,low,low,low,low,centre,female,18-29,low
17747,BG,medium,low,medium,medium,medium,medium,medium,low,medium,low,left,male,60+,high
23065,BG,low,low,high,low,low,medium,high,medium,low,medium,centre,male,60+,low
26579,BG,low,low,low,low,low,high,low,medium,low,low,centre,female,30-44,high
19970,BG,high,low,low,medium,low,medium,medium,high,medium,high,centre,female,45-59,high
14098,BG,low,low,low,low,low,medium,medium,high,medium,medium,centre,female,60+,medium
21095,BG,medium,low,medium,medium,low,medium,low,high,medium,low,centre,male,30-44,high
15208,BG,medium,medium,high,medium,medium,medium,low,high,low,low,right,male,45-59,medium
21186,BG,medium,medium,medium,low,low,medium,low,high,high,low,centre,female,18-29,medium
25048,BG,low,low,low,low,low,medium,medium,medium,low,low,centre,female,30-44,medium
21748,BG,low,low,medium,low,low,medium,low,high,low,low,centre,female,18-29,medium
23518,BG,medium,low,high,low,low,high,low,high,high,high,centre,female,18-29,medium
16068,BG,low,low,medium,low,low,medium,low,high,medium,low,centre,male,60+,medium
27464,BG,low,low,medium,low,low,low,high,medium,medium,medium,left,male,60+,low
24936,BG,medium,low,low,low,low,low,medium,medium,low,low,centre,male,30-44,low
24852,BG,low,medium,medium,medium,low,high,high,high,low,medium,centre,male,NA,high
20440,BG,medium,medium,medium,low,low,medium,low,high,low,low,left,female,45-59,high
16928,BG,medium,high,high,medium,medium,high,medium,high,high,medium,left,female,60+,high
12380,BG,low,medium,medium,low,low,medium,high,medium,medium,low,centre,female,45-59,medium
11160,BG,low,low,medium,medium,low,medium,low,low,low,medium,left,male,60+,high
25670,BG,low,medium,high,low,low,high,low,medium,low,low,right,female,45-59,medium
24055,BG,low,low,low,low,low,low,medium,low,low,low,left,female,60+,medium
25737,BG,low,medium,medium,low,low,medium,low,high,low,low,centre,male,30-44,high
14328,BG,low,low,high,low,low,medium,medium,high,high,high,centre,female,30-44,high
26823,BG,medium,low,medium,medium,low,high,low,high,medium,low,right,male,30-44,high
24162,BG,low,medium,medium,low,low,medium,high,high,medium,high,right,female,45-59,high
12517,BG,medium,medium,medium,medium,medium,medium,medium,high,low,medium,left,male,60+,low
21438,BG,low,low,medium,medium,high,high,high,medium,low,low,right,female,60+,medium
19552,BG,low,medium,medium,low,low,medium,medium,low,medium,low,centre,female,30-44,high
18377,BG,low,low,low,low,low,medium,low,low,low,low,right,male,30-44,medium
22529,BG,low,low,low,low,low,medium,low,low,low,low,centre,male,60+,medium
16555,BG,low,low,low,low,low,high,high,high,high,high,right,female,30-44,low
10757,BG,low,low,high,low,low,low,low,high,low,medium,left,male,60+,high
16884,BG,low,low,low,low,low,medium,high,medium,low,low,left,female,60+,high
12918,BG,low,high,high,low,low,medium,medium,high,low,medium,right,female,45-59,medium
16669,BG,low,low,low,low,low,high,low,high,high,high,right,male,45-59,medium
10799,BG,low,medium,medium,low,low,medium,medium,medium,low,medium,right,male,60+,low
27570,BG,low,low,low,low,low,medium,medium,medium,medium,medium,centre,female,18-29,high
24352,BG,low,low,low,low,low,low,low,low,low,low,centre,female,60+,high
16425,BG,low,low,low,low,low,low,high,high,low,low,right,male,60+,medium
16015,BG,medium,medium,medium,low,low,high,high,medium,high,medium,right,female,60+,high
26112,BG,low,medium,high,low,low,medium,high,high,low,low,centre,female,30-44,high
18032,BG,low,medium,medium,low,low,high,low,high,medium,low,centre,male,45-59,medium
11657,BG,low,low,low,low,low,low,medium,high,low,medium,centre,male,30-44,medium
11565,BG,medium,low,low,low,low,high,high,low,low,high,right,female,45-59,high
25277,CH,high,high,high,high,medium,high,high,medium,high,high,centre,female,45-59,low
10130,CH,medium,medium,high,low,low,medium,low,high,high,high,centre,male,18-29,high
16128,CH,high,high,high,high,medium,medium,low,high,high,high,centre,male,45-59,medium
24889,CH,high,high,high,high,medium,medium,low,high,high,high,left,female,45-59,medium
21886,CH,high,high,high,high,high,high,low,high,high,high,centre,male,30-44,high
17796,CH,high,medium,medium,high,high,high,high,high,high,medium,right,female,30-44,high
19068,CH,high,high,high,medium,medium,medium,low,high,high,high,right,female,30-44,medium
14063,CH,medium,medium,high,medium,medium,low,medium,high,high,medium,centre,male,60+,medium
17167,CH,high,high,high,high,high,medium,high,high,medium,high,left,female,60+,medium
21406,CH,high,high,high,high,medium,high,high,high,high,high,left,female,45-59,high
11604,CH,high,high,high,high,high,medium,medium,high,high,high,centre,male,45-59,medium
17697,CH,high,high,high,high,high,high,low,high,high,high,centre,female,30-44,high
10004,CH,high,high,high,medium,medium,medium,high,high,high,high,right,male,45-59,medium
14390,CH,high,high,high,high,medium,high,low,high,high,medium,left,male,30-44,high
21630,CH,medium,medium,high,high,high,medium,medium,high,high,high,centre,male,18-29,low
14738,CH,high,high,high,medium,high,medium,high,medium,high,high,centre,male,18-29,medium
23016,CH,high,high,high,high,high,medium,medium,high,medium,high,centre,female,45-59,low
16346,CH,low,high,high,low,low,high,high,medium,medium,low,left,female,45-59,high
12394,CH,high,high,high,high,high,low,low,high,medium,high,centre,female,45-59,medium
22665,CH,high,high,high,high,high,medium,medium,high,high,high,centre,female,30-44,medium
13170,CH,high,high,high,medium,medium,medium,low,high,high,high,centre,male,45-59,high
12117,CH,high,high,high,medium,medium,medium,medium,high,high,medium,centre,male,30-44,high
23531,CH,high,high,high,medium,medium,high,high,high,high,high,centre,male,60+,high
24990,CH,high,high,high,medium,low,low,medium,high,high,high,centre,male,30-44,high
18298,CH,high,high,high,high,high,medium,medium,medium,high,high,centre,female,60+,low
20646,CH,high,high,high,high,high,high,high,high,high,high,right,male,45-59,high
18257,CH,high,high,high,high,medium,medium,low,high,high,high,right,female,30-44,high
23109,CH,high,medium,medium,high,high,high,low,medium,high,medium,left,male,30-44,medium
19705,CH,high,high,high,high,high,high,high,high,high,high,right,male,30-44,medium
25838,CH,medium,medium,medium,low,low,high,medium,high,high,low,centre,female,45-59,medium
16321,CH,high,high,high,high,medium,medium,high,high,high,high,right,male,60+,high
16470,CH,high,high,high,medium,medium,high,low,high,high,high,left,female,60+,high
22839,CH,high,high,medium,high,high,medium,low,high,high,high,left,female,18-29,high
22503,CH,high,medium,low,medium,medium,high,medium,high,high,high,left,female,18-29,medium
26572,CH,medium,medium,medium,medium,medium,high,low,high,medium,medium,left,female,18-29,high
12734,CH,medium,medium,low,medium,low,low,high,high,high,medium,right,female,45-59,medium
10504,CH,medium,high,high,medium,medium,medium,low,high,high,high,centre,male,60+,medium
18554,CH,high,high,high,low,medium,high,low,high,high,high,left,female,45-59,high
20914,CH,high,high,medium,high,medium,high,medium,high,medium,medium,centre,male,18-29,low
23437,CH,high,medium,medium,medium,medium,medium,high,medium,medium,high,left,male,60+,high
16418,CH,medium,medium,high,high,high,high,high,high,medium,medium,centre,female,45-59,low
15934,CH,high,high,high,high,high,medium,medium,high,high,high,centre,female,30-44,high
16100,CH,high,medium,medium,medium,medium,high,high,medium,medium,medium,centre,female,30-44,high
10917,CH,high,high,high,high,high,medium,medium,high,medium,high,left,male,30-44,medium
25308,CH,high,high,high,medium,medium,high,low,low,medium,high,left,female,30-44,high
17877,CH,medium,medium,high,medium,medium,low,medium,high,medium,high,centre,female,30-44,medium
22438,CH,medium,high,low,low,medium,high,medium,high,high,high,left,male,18-29,high
12459,CH,medium,medium,high,medium,medium,high,high,medium,high,high,left,female,18-29,medium
11633,CH,medium,medium,high,medium,high,medium,low,high,medium,medium,right,male,18-29,medium
20274,CH,high,high,high,high,high,high,high,high,high,high,centre,male,45-59,medium
11611,CH,medium,medium,high,medium,medium,medium,high,high,medium,medium,left,female,60+,medium
21522,CH,medium,high,high,high,medium,medium,high,high,medium,high,right,female,60+,low
24916,CH,high,high,high,medium,medium,medium,high,high,high,high,centre,male,60+,high
18002,CH,high,high,high,high,medium,medium,low,high,high,high,centre,female,18-29,medium
22967,CH,high,high,high,high,high,medium,high,high,high,high,centre,male,60+,high
22263,CH,high,high,high,high,high,high,high,high,high,high,right,male,30-44,low
18852,CH,high,medium,medium,high,medium,medium,high,high,high,high,left,female,18-29,medium
12795,CH,medium,medium,high,medium,medium,medium,medium,high,high,high,centre,female,30-44,high
21492,CH,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,centre,female,60+,high
11530,CH,high,high,high,medium,high,high,low,medium,medium,high,centre,male,18-29,low
26727,CH,high,medium,high,high,medium,high,high,high,high,high,right,male,60+,medium
18232,CH,high,high,high,high,high,low,medium,high,high,high,centre,male,60+,medium
10780,CH,medium,high,high,medium,medium,medium,low,high,high,medium,centre,male,60+,low
26203,CH,high,medium,high,high,medium,high,high,high,high,high,left,male,45-59,high
24706,CH,medium,medium,high,low,low,high,medium,high,high,high,centre,female,60+,high
23590,CH,medium,medium,high,high,medium,high,high,high,high,high,left,female,60+,medium
13500,CH,medium,low,low,medium,low,high,low,high,medium,medium,left,female,18-29,high
18500,CH,high,high,high,medium,medium,medium,medium,high,high,high,right,female,60+,high
17980,CH,medium,high,high,medium,medium,medium,low,high,low,medium,left,female,30-44,medium
26030,CH,high,high,medium,medium,medium,high,medium,high,high,high,centre,male,30-44,low
23796,CH,medium,medium,medium,low,low,medium,high,high,high,medium,left,male,30-44,high
19238,CH,high,high,high,high,high,medium,medium,high,high,high,centre,male,30-44,high
16391,CH,medium,medium,medium,medium,medium,medium,high,high,high,low,right,female,60+,medium
18815,CH,high,high,high,high,high,high,low,high,high,high,left,female,30-44,high
18380,CH,high,high,high,high,medium,medium,medium,high,high,high,left,female,30-44,medium
20110,CH,high,high,high,high,high,medium,high,high,medium,high,left,female,30-44,medium
11395,CH,high,high,high,high,medium,high,medium,high,high,medium,centre,male,60+,high
22736,CH,high,high,high,high,medium,high,low,high,medium,medium,left,female,45-59,high
27253,CH,high,high,high,high,high,medium,medium,high,high,high,centre,female,30-44,medium
23855,CH,medium,low,medium,medium,high,low,low,high,medium,high,centre,female,60+,low
26594,CH,high,high,high,high,medium,high,medium,high,medium,high,centre,male,60+,high
24577,CH,high,high,high,high,medium,medium,high,medium,medium,medium,centre,female,60+,high
16866,CH,high,high,high,medium,high,medium,low,high,high,high,right,female,45-59,high
19299,CH,high,high,high,high,high,high,high,high,high,high,centre,female,45-59,high
21699,CH,high,medium,high,high,medium,medium,high,high,high,high,right,female,45-59,high
13197,CH,high,high,high,medium,medium,high,high,high,medium,high,centre,female,60+,medium
21113,CH,high,high,high,high,high,low,low,medium,high,high,left,male,45-59,medium
15272,CH,high,medium,high,medium,medium,medium,medium,low,high,high,left,female,45-59,medium
11259,CH,low,low,low,low,low,low,low,high,low,low,centre,female,45-59,medium
15015,CH,medium,medium,medium,medium,low,high,high,high,medium,medium,left,female,30-44,high
13030,CH,high,high,high,medium,medium,high,high,high,medium,high,left,male,45-59,high
23325,CH,high,high,high,high,high,high,medium,high,high,high,centre,male,45-59,high
25769,CH,high,medium,high,medium,low,medium,high,high,high,high,right,male,18-29,low
18606,CH,high,high,high,high,high,high,high,high,medium,high,centre,female,30-44,low
23710,CH,high,high,high,high,high,high,high,high,high,high,left,female,18-29,medium
18810,CH,high,high,high,high,high,medium,high,high,high,high,centre,male,18-29,high
25067,CH,high,high,high,high,high,high,high,high,high,high,centre,female,60+,high
27814,CH,medium,medium,high,medium,medium,low,medium,high,high,high,centre,female,45-59,medium
21012,CH,high,high,high,high,high,medium,medium,high,high,high,centre,male,60+,low
20811,CH,medium,high,high,medium,medium,medium,high,high,high,high,centre,female,45-59,medium
22426,CZ,high,low,low,low,low,low,low,high,low,low,centre,female,60+,medium
22892,CZ,medium,high,medium,low,low,medium,low,high,medium,low,centre,female,18-29,medium
16440,CZ,high,high,high,high,high,low,low,high,medium,medium,right,female,30-44,high
10182,CZ,medium,low,low,medium,medium,high,low,medium,medium,high,right,male,60+,high
25232,CZ,medium,high,high,medium,medium,medium,low,high,high,medium,right,male,45-59,medium
16293,CZ,low,high,medium,low,low,high,low,high,high,medium,left,female,45-59,medium
18101,CZ,low,medium,medium,low,low,medium,low,high,medium,low,centre,female,30-44,high
10598,CZ,high,high,high,high,high,low,low,high,medium,medium,centre,female,45-59,medium
25155,CZ,high,high,high,high,high,medium,high,high,high,high,right,female,60+,high
23648,CZ,medium,high,high,medium,medium,medium,medium,medium,medium,low,centre,male,30-44,medium
17877,CZ,medium,high,medium,medium,medium,low,low,medium,medium,medium,centre,female,60+,medium
17630,CZ,high,medium,high,high,high,low,low,high,high,high,centre,female,45-59,high
16872,CZ,low,high,high,low,low,low,low,high,medium,medium,centre,male,18-29,low
20717,CZ,low,medium,high,low,low,low,low,high,low,low,right,female,45-59,high
26868,CZ,medium,medium,high,high,medium,medium,medium,high,high,medium,centre,female,30-44,high
10502,CZ,medium,medium,high,low,low,low,medium,medium,medium,medium,left,female,45-59,medium
13666,CZ,low,low,low,low,low,medium,low,medium,medium,medium,left,female,30-44,medium
14400,CZ,medium,low,medium,low,low,medium,low,high,low,low,left,female,60+,medium
11636,CZ,medium,high,high,high,medium,low,low,high,medium,high,centre,female,60+,high
11040,CZ,medium,medium,high,medium,medium,medium,low,high,medium,high,right,female,18-29,high
19879,CZ,low,low,medium,low,low,medium,low,high,low,low,left,female,60+,medium
18717,CZ,medium,high,high,medium,medium,high,low,high,medium,medium,centre,male,45-59,high
10262,CZ,high,medium,medium,high,high,high,low,high,medium,medium,centre,male,45-59,medium
27032,CZ,low,low,medium,low,low,low,low,high,high,high,centre,male,18-29,medium
18036,CZ,medium,medium,high,low,low,low,low,high,medium,medium,centre,male,45-59,medium
14311,CZ,medium,high,high,low,low,low,low,high,low,low,left,male,60+,medium
23681,CZ,low,medium,high,low,low,low,low,high,high,medium,centre,male,45-59,medium
19404,CZ,high,high,high,medium,medium,medium,low,high,high,high,centre,female,60+,high
15502,CZ,medium,medium,medium,medium,medium,medium,low,high,medium,medium,centre,female,18-29,medium
25465,CZ,low,low,low,low,low,medium,low,high,low,low,right,female,60+,medium
26935,CZ,high,low,medium,high,medium,low,medium,high,low,low,right,male,30-44,high
15525,CZ,high,medium,high,medium,medium,medium,medium,high,medium,medium,centre,male,60+,medium
25802,CZ,low,low,high,low,low,low,high,high,low,low,centre,female,30-44,high
17231,CZ,medium,medium,high,high,medium,medium,high,medium,medium,high,centre,male,60+,medium
16097,CZ,low,low,low,low,medium,medium,high,medium,low,low,right,female,60+,medium
22991,CZ,medium,high,high,medium,medium,low,medium,high,medium,medium,centre,female,30-44,high
18991,CZ,high,high,high,high,high,medium,high,high,high,high,right,female,30-44,medium
27098,CZ,medium,medium,medium,medium,medium,medium,low,high,medium,low,centre,female,30-44,high
16226,CZ,medium,high,high,medium,low,medium,low,high,medium,medium,right,female,18-29,medium
20013,CZ,high,high,high,high,high,medium,low,high,medium,low,right,male,30-44,high
17413,CZ,high,high,high,medium,medium,medium,low,high,medium,medium,centre,female,30-44,medium
12863,CZ,medium,medium,high,medium,medium,high,low,medium,high,medium,right,male,18-29,high
16094,CZ,high,high,high,high,high,medium,low,high,medium,high,right,female,45-59,high
16718,CZ,low,low,low,medium,low,low,low,medium,high,high,right,male,45-59,high
23443,CZ,medium,medium,high,medium,medium,low,low,high,high,medium,centre,female,30-44,high
23066,CZ,medium,high,high,high,high,high,low,high,high,high,centre,female,18-29,high
24791,CZ,high,high,high,high,low,high,low,high,medium,high,centre,female,60+,high
