"event_name","category","date","location","link","subpage_title","subpage_status","event_description","subpage_venue","street_address","postal_code","city","event_duration_type","lat","lon"
"Flatenbastun – Lakeside Sauna Experience","Sports & Wellbeing","May 12 - Dec 31","Flatenbastun","https://www.visitstockholm.com/events/flatenbastun-lakeside-sauna-experience/next/","Flatenbastun – Lakeside Sauna Experience",200,"Flatenbastun offers a relaxed lakeside sauna experience by Lake Flaten in southern Stockholm. Here, warmth, nature and refreshing swims come together in a social and welcoming setting for both regulars and first-time guests. Open sauna sessions are available year-round and booked in advance via the website. Bring swimwear and towels for a genuine Swedish sauna experience close to nature.","Flatenbastun","Flatenvägen 200","138 31","Skarpnäck","Multi-day event","59.2531200","18.1641245"
"Opera: Madama Butterfly","Stage & Film","May 13","The Royal Swedish Opera","https://www.visitstockholm.com/events/madama-butterfly-opera-by-giacomo-puccini/next/","Opera: Madama Butterfly",200,"Madama Butterfly","The Royal Swedish Opera","Gustav Adolfs torg 2",NA,"Stockholm","Single-day event","59.3295439","18.0693258"
"Earth to Eve","Music","May 12","Debaser Nova","https://www.visitstockholm.com/events/earth-to-eve/next/","Earth to Eve",200,"Miami-based artist Earth to Eve creates cinematic alternative pop where personal storytelling meets dark, emotional production. Writing, producing and shaping her entire visual identity herself, she builds a world entirely on her own terms. Now coming to Stockholm for an intimate club show – a chance to discover a rising artist early.","Debaser Nova","Hornstulls strand 4","117 39","Stockholm","Single-day event","59.3150962","18.0309054"
"The Hornstull Market 2026","Fairs","May 16 - Sep 27","Hornstulls Strand","https://www.visitstockholm.com/events/hornstulls-marknad/next/","The Hornstull Market 2026",200,"Hornstulls Marknad is a public market taking place every Saturday and Sunday, from the first weekend of April to the last weekend in September (except for the midsummer weekend in June). Flea, vintage, design, art, crafts, antiques, literature, delicatessen, foodstuffs and much more.","Hornstulls Strand","Hornstulls strand",NA,"Stockholm","Multi-day event","59.3144212","18.0328135"
"BAUHAUS-galan / Diamond League","Sports & Wellbeing","Jun 7","Stockholms Stadion","https://www.visitstockholm.com/events/bauhaus-galan-diamond-league/next/","BAUHAUS-galan / Diamond League",200,"BAUHAUS-Galan is an annual world-class athletics gala held at Stockholm Olympic Stadium. Many of the competitors consider the Stadium to be the world's most beautiful arena. The world elite is always present, competing against Sweden’s best track and field athletes. The atmosphere at the Stadium is always magical, with its history combined with modern technology and an audience seated just one meter from the competitors.","Stockholms Stadion","Lidingövägen","114 33","Stockholm","Single-day event","59.3452221","18.0810496"
"adidas Stockholm Marathon 2026","Sports & Wellbeing","May 30","Stockholm Olympic Stadium","https://www.visitstockholm.com/events/adidas-stockholm-marathon-2024/next/","adidas Stockholm Marathon 2026",200,"The adidas Stockholm Marathon takes you through the streets of a beautiful European capital built on 14 islands. The course of this race offers spectacular views of a unique city with varied scenery, including nature and an impeccably preserved medieval city center. The enthusiastic crowds will cheer you along the route and lead you to an unforgettable finish at the 1912 Olympic Stadium, the home of 83 officially recognized world records in athletics. No other arena in the world comes close to that number and hopefully, you can have your own record finishing the adidas Stockholm Marathon at this stadium.","Stockholm Olympic Stadium","Lidingövägen","114 33","Stockholm","Single-day event","59.3452221","18.0810496"
"Pottery wheel throwing","Sports & Wellbeing","May 12 - Dec 31","Drejeriet","https://www.visitstockholm.com/events/pottery-wheel-throwing/next/","Pottery wheel throwing",200,"With our very popular 'Do it Yourself' sessions, you can throw as much (or as little) as you want, create at a speed that works for you, practice specific techniques or just throw for the sake of throwing - All on your own time and under your terms! Instructions are not included. If you would like instructions for how to create ceramics please book a workshop or a course. We do not teach during the Do It yourself sessions.","Drejeriet","Mariedalsvägen 7","112 17","Stockholm","Multi-day event","59.3389140","18.0143323"
"The Viking World – the world’s largest Viking exhibition","Exhibitions","May 12 - Jan 1","Swedish History Museum","https://www.visitstockholm.com/events/the-viking-world-the-worlds-largest-viking-exhibit/next/","The Viking World – the world’s largest Viking exhibition",200,"The myth of the violent, plundering Vikings (with horned helmets) has been circulating for a long time. But what do we really know about life in Nordic countries one thousand years ago?","Swedish History Museum","Narvavägen 13",NA,"Stockholm","Multi-day event","59.3343995","18.0919509"
"Make Hay While the Sun Shines by Stina Nyberg","Stage & Film","May 12","På Sergels torg","https://www.visitstockholm.com/events/make-hay-while-the-sun-shines-by-stina-nyberg/next/","Events",200,NA,NA,NA,NA,NA,"Single-day event",NA,NA
"Exhibition Scapes, by Alia Ali","Exhibitions","May 12 - May 17","House of Photography","https://www.visitstockholm.com/events/exhibition-scapes-by-alia-ali/next/","Exhibition Scapes, by Alia Ali",200,"An exhibition by contemporary artist Alia Ali, who works across photography, video, and installation. Known for her visually striking photographic works in which body, textile, and identity intertwine, Ali explores in the exhibition Scapes the boundaries between the individual and the collective, and between visibility and anonymity. Her work has previously been exhibited internationally in the United States, Africa, and the Middle East, an this exhibition marks her debut in Sweden.","House of Photography","Sankt Paulsgatan 29","118 46","Stockholm","Multi-day event","59.3176136","18.0638357"
"Äventyrs – The adventure museum (pop-up)","Exhibitions","May 12 - Sep 30","Äventyrs","https://www.visitstockholm.com/events/aventyrs-the-adventure-museum/next/","Äventyrs – The adventure museum (pop-up)",200,"Äventyrs is the world's first museum that depicts adventures from all over the world - created to inspire our visitors, awaken dreams and ignite the spark for adventure. In addition to several inspiring exhibitions, there is a large adventure shop and a cafe. Äventyrs also offer an adventure community, education and lectures. The museum is temporary (""pop-up"") until midsummer, but hopefully it can remain for longer!","Äventyrs","Sergelgatan 8","11157","Stockholm","Multi-day event","59.3336156","18.0637500"
"Folk music and dance evenings","Music","May 17","Skeppsholmens Folkhögskola/Föreningen Folkmusikhuset","https://www.visitstockholm.com/events/folkmusic-and-danceevenings-open-house-free-2/next/","Folk music and dance evenings",200,"Welcome to Stockholm’s folkmusic oasis: Skeppis – the house of folk music! The unique cultural space hosts jam sessions, concerts, workshops, social dancing to live acoustic music, food, and drinks (non-alcoholic). Open to all newcomers, beginners and experienced visitors. The venue offers a variety of activities, and everything is run non-profit in the spirit of folkmusic!","Skeppsholmens Folkhögskola/Föreningen Folkmusikhuset","Slupskjulsvägen 12","111 49","Stockholm","Single-day event","59.3260769","18.0865590"
"Springbeast Festival 2026 – Urban Art & Music Festival in Stockholm","Festivals","May 14 - May 17","Kulturkvarter Snösätra","https://www.visitstockholm.com/events/springbeast-festival-2026-urban-art-music-festival/next/","Springbeast Festival 2026 – Urban Art & Music Festival in Stockholm",200,"Springbeast Festival is a street art and music festival in Snösätra, Stockholm, May 14–17, 2026. Over 90 artists from 20+ countries create live graffiti and murals, alongside 30+ hours of music with artists like Loop Troop Rockers and Linda Pira. Expect street food, workshops, talks, and activities for all ages.","Kulturkvarter Snösätra","Snösätragränd 1","124 60","Högdalen","Multi-day event","59.2505408","18.0398901"
"Thursday evenings at Nationalmuseum","Networking & Community","May 14 - Jun 11","Nationalmuseum","https://www.visitstockholm.com/events/thursday-evenings-at-nationalmuseum-2/next/","Thursday evenings at Nationalmuseum",200,"Kickstart the weekend at Nationalmuseum! On Thursday evenings, the museum is abuzz with people, art and music, with FREE admission for everyone from 5pm to 8pm. Enjoy an ever-changing programme of afterwork drinks, music, workshops and other activities.","Nationalmuseum","Södra Blasieholmshamnen 2","111 48","Stockholm","Multi-day event","59.3282984","18.0777636"
"Elitloppet 2026","Sports & Wellbeing","May 29 - May 31","Solvalla","https://www.visitstockholm.com/events/elitloppet-2026/next/","Elitloppet 2026",200,"Welcome to the Elitloppet weekend 2026 – one of Sweden's biggest sporting events. Every year, thousands of people visit Solvalla to experience a festive atmosphere with the world's fastest horses and the world's best audience!","Solvalla","Solvalla",NA,"Travbanevägen","Multi-day event",NA,NA
